Theatre,URL,Latitude,Longitude
Atelie Plastelin,https://www.atelie-plastelin.com/p/blog-page_9846.html,42.701379824333,23.327916330905
I AM Studio,https://iamstudio.bg/,42.6922709356436,23.3254146386266
The Comedy Club Sofia,https://comedyclub.bg/,42.6977385726737,23.3264061521109
Theatro,https://www.theatro.bg/,42.6955399650208,23.3459419080605
YALTA ART ROOM,https://www.facebook.com/yaltaartrooom,42.6956247633963,23.3459536404691
Ballet Arabesque,http://www.arabesque.bg,42.6972666958475,23.3361089360328
Music and Ballet Center - Sofia,http://www.musictheatre.bg,42.6972541095177,23.3354369672683
"Little City Theater ""Zad Kanala""",http://www.zadkanala.bg,42.6964640939659,23.3473855539618
Youth Theater Nikolay Binev,http://www.mlt.bg,42.6979316435448,23.3268657288358
National Theatre Ivan Vazov,http://www.nationaltheatre.bg,42.6945253824059,23.3260411521107
"Open Scene ""Salza I Smyah""",https://www.salzaismyah.bg/,42.6940013388489,23.328457840469
"Regional Center for Contemporary Arts ""Toplocentrala""",https://toplocentrala.bg/,42.679976554491,23.3155298116324
"Satirical Theater ""Aleko Konstantinov""",http://www.satirata.bg/,42.6918086018957,23.3263058539614
City Mark Art Center,https://www.cmart.info/,42.6964774758766,23.3395407367675
Sofia Opera and Ballet,http://www.operasofia.bg,42.6976137176921,23.3304939827976
 Sofia Puppet Theater,http://www.sofiapuppet.com,42.6933935891816,23.3258964972882
Sfumato theater workshop,http://www.sfumato.info/,42.6981043717448,23.3460410962901
"Theatrical formation ""Melpomena""",https://www.melpomenatheatre.com/,42.6776004867395,23.3114598809456
Theatre Azaryan,http://ndk.bg,42.6848938052919,23.3188968386177
Theatre Bulgarian Army,http://tba.art.bg,42.694896935049,23.3288550441791
Theatre 199 Valentin Stoychev,https://theatre199.org/bg,42.693245998428,23.3286451386182
Theatre Atelie 313,https://www.atelie313.com/,42.6957125709791,23.2827747539615
